price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 35 Lac,3500000,"1 BHK Flat for Sale in Chikhali, Pune",1,Carpet Area 460 sqft,460,Chikhali,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-460-Sq-ft-Multistorey-Apartment-FOR-Sale-Chikhali-in-Pune&id=4d423830313331363335
₹ 2.40 Cr,24000000,"3 BHK Flat for Sale in Mundhwa, Pune",3,Carpet Area 1504 sqft,1504,Mundhwa,Pune,https://www.magicbricks.com/mayfair-river-residences-mundhwa-pune-pdpid-4d4235343331373237
₹ 44 Lac,4400000,"2 BHK Flat for Sale in Kirkatwadi, Pune",2,Super Area 861 sqft,861,Kirkatwadi,Pune,https://www.magicbricks.com/sukhswapna-kirkatwadi-pune-pdpid-4d4235303738323937
₹ 1.42 Cr,14200000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 1133 sqft,1133,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.50 Cr,15000000,"3 BHK Flat for Sale in Bavdhan, Pune",3,Super Area 1100 sqft,1100,Bavdhan,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Bavdhan-in-Pune&id=4d423831333132303631
₹ 90 Lac,9000000,"2 BHK Flat for Sale in Ambegaon, Pune",2,Super Area 1080 sqft,1080,Ambegaon,Pune,https://www.magicbricks.com/kool-homes-panchamrut-ambegaon-pune-pdpid-4d4235303733313631
₹ 1.09 Cr,10900000,"2 BHK Flat for Sale in Wagholi, Pune",2,Carpet Area 825 sqft,825,Wagholi,Pune,https://www.magicbricks.com/majestique-towers-wagholi-pune-pdpid-4d4235313134373639
₹ 1.32 Cr,13200000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 973 sqft,973,Hinjawadi,Pune,https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036
₹ 1.14 Cr,11399999,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 839 sqft,839,Hinjawadi,Pune,https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036
₹ 1.55 Cr,15500000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 1145 sqft,1145,Hinjawadi,Pune,https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036
₹ 1.14 Cr,11399999,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 845 sqft,845,Hinjawadi,Pune,https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036
Call for Price,,Apartment for Sale in Pune,,Transaction Resale,,Pune,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423831303638323437
₹ 68 Lac,6800000,"2 BHK Flat for Sale in Tathawade Pimpri Chinchwad, Pune",2,Super Area 917 sqft,917,Tathawade Pimpri Chinchwad,Pune,https://www.magicbricks.com/rohan-ananta-tathawade-pune-pdpid-4d4235313232353135
₹ 1.25 Cr,12500000,"2 BHK Flat for Sale in Balewadi, Pune",2,Carpet Area 1000 sqft,1000,Balewadi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Balewadi-in-Pune&id=4d423831343836393531
