price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 2.70 Cr,27000000.0,"4 BHK Flat for Sale in Baner, Pune",4.0,Carpet Area 1750 sqft,1750.0,Baner,Pune,https://www.magicbricks.com/kolte-patil-24k-altura-baner-pune-pdpid-4d4235343130393439
₹ 3.90 Cr,39000000.0,"4 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",4.0,Carpet Area 2200 sqft,2200.0,Pimple Nilakh,Pune,https://www.magicbricks.com/kolte-patil-24k-manor-pimple-nilakh-pune-pdpid-4d4235343136353933
₹ 1.60 Cr,16000000.0,"2 BHK Flat for Sale in Baner, Pune",2.0,Carpet Area 966 sqft,966.0,Baner,Pune,https://www.magicbricks.com/kolte-patil-24k-sereno-baner-pune-pdpid-4d4235303732363439
₹ 3.21 Cr,32100000.0,"3 BHK Flat for Sale in Baner, Pune",3.0,Carpet Area 1674 sqft,1674.0,Baner,Pune,https://www.magicbricks.com/kolte-patil-24k-sereno-baner-pune-pdpid-4d4235303732363439
₹ 36 Lac,3600000.0,"1 BHK Flat for Sale in Hinjawadi, Pune",1.0,Carpet Area 329 sqft,329.0,Hinjawadi,Pune,https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837
₹ 80.8 Lac,8080000.0,"2 BHK Flat for Sale in Jambhe, Pune",2.0,Carpet Area 796 sqft,796.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
₹ 89.9 Lac,8990000.0,"2 BHK Flat for Sale in Jambhe, Pune",2.0,Carpet Area 885 sqft,885.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
₹ 1.10 Cr,11000000.0,"3 BHK Flat for Sale in Jambhe, Pune",3.0,Carpet Area 1100 sqft,1100.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
₹ 1.23 Cr,12300000.0,"3 BHK Flat for Sale in Jambhe, Pune",3.0,Carpet Area 1212 sqft,1212.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
₹ 2.45 Cr,24500000.0,"3 BHK Flat for Sale in Wakad, Pune",3.0,Carpet Area 1400 sqft,1400.0,Wakad,Pune,https://www.magicbricks.com/lodha-altero-wakad-pune-pdpid-4d4235343330343639
₹ 2.90 Cr,29000000.0,"4 BHK Flat for Sale in Wakad, Pune",4.0,Carpet Area 1659 sqft,1659.0,Wakad,Pune,https://www.magicbricks.com/lodha-altero-wakad-pune-pdpid-4d4235343330343639
₹ 3.58 Cr,35800000.0,"4 BHK Flat for Sale in Wakad, Pune",4.0,Carpet Area 2050 sqft,2050.0,Wakad,Pune,https://www.magicbricks.com/lodha-altero-wakad-pune-pdpid-4d4235343330343639
₹ 4.55 Cr,45500000.0,"5 BHK Flat for Sale in Wakad, Pune",5.0,Carpet Area 2603 sqft,2603.0,Wakad,Pune,https://www.magicbricks.com/lodha-altero-wakad-pune-pdpid-4d4235343330343639
₹ 1.50 Cr,15000000.0,"3 BHK Flat for Sale in Mumbai Pune Expressway, Pune",3.0,Carpet Area 1296 sqft,1296.0,Mumbai Pune Expressway,Pune,https://www.magicbricks.com/lodha-belmondo-mumbai-pune-expressway-pune-pdpid-4d4235303230383839
₹ 32 Lac,3200000.0,"1 BHK Flat for Sale in Wagholi, Pune",1.0,Carpet Area 443 sqft,443.0,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
₹ 1.89 Cr,18900000.0,"3 BHK Flat for Sale in Kharadi, Pune",3.0,Carpet Area 1149 sqft,1149.0,Kharadi,Pune,https://www.magicbricks.com/majestique-evolvus-kharadi-pune-pdpid-4d4235343138353239
₹ 2.77 Cr,27700000.0,"4 BHK Flat for Sale in Kharadi, Pune",4.0,Carpet Area 1684 sqft,1684.0,Kharadi,Pune,https://www.magicbricks.com/majestique-evolvus-kharadi-pune-pdpid-4d4235343138353239
₹ 2.26 Cr,22599999.0,"3 BHK Flat for Sale in Balewadi, Pune",3.0,Carpet Area 1298 sqft,1298.0,Balewadi,Pune,https://www.magicbricks.com/majestique-signature-towers-balewadi-pune-pdpid-4d4235313238333535
₹ 1.14 Cr,11399999.0,"2 BHK Flat for Sale in Balewadi, Pune",2.0,Carpet Area 812 sqft,812.0,Balewadi,Pune,https://www.magicbricks.com/mantra-meridian-balewadi-pune-pdpid-4d4235343330373033
₹ 1.17 Cr,11700000.0,"2 BHK Flat for Sale in Balewadi, Pune",2.0,Carpet Area 835 sqft,835.0,Balewadi,Pune,https://www.magicbricks.com/mantra-meridian-balewadi-pune-pdpid-4d4235343330373033
₹ 1.46 Cr,14600000.0,"3 BHK Flat for Sale in Balewadi, Pune",3.0,Carpet Area 1040 sqft,1040.0,Balewadi,Pune,https://www.magicbricks.com/mantra-meridian-balewadi-pune-pdpid-4d4235343330373033
₹ 1.64 Cr,16399999.0,"3 BHK Flat for Sale in Balewadi, Pune",3.0,Carpet Area 1170 sqft,1170.0,Balewadi,Pune,https://www.magicbricks.com/mantra-meridian-balewadi-pune-pdpid-4d4235343330373033
