price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
Call for Price,,"1 BHK Flat for Sale in Yerawada, Airport Road, Pune",1.0,Carpet Area 410 sqft,410.0,Yerawada,Pune,https://www.magicbricks.com/shreyas-clementine-yerawada-pune-pdpid-4d4235303332353032
Call for Price,,"1 BHK Flat for Sale in Yerawada, Airport Road, Pune",1.0,Carpet Area 408 sqft,408.0,Yerawada,Pune,https://www.magicbricks.com/shreyas-clementine-yerawada-pune-pdpid-4d4235303332353032
Call for Price,,"2 BHK Flat for Sale in Pimple Gurav, Pimpri Chinchwad, Pune",2.0,Carpet Area 563 sqft,563.0,Pimple Gurav,Pune,https://www.magicbricks.com/shiv-residency-pimple-gurav-pune-pdpid-4d4235303332343834
Call for Price,,"2 BHK Flat for Sale in Thergaon, Pimpri Chinchwad, Pune",2.0,Carpet Area 756 sqft,756.0,Thergaon,Pune,https://www.magicbricks.com/sai-india-park-thergaon-pune-pdpid-4d4235303332343338
Call for Price,,"1 BHK Flat for Sale in Bibwewadi, Pune",1.0,Carpet Area 482 sqft,482.0,Bibwewadi,Pune,https://www.magicbricks.com/sadguru-park-apartment-bibwewadi-pune-pdpid-4d4235303332343332
Call for Price,,"Apartment for Sale in Bavdhan, Pune",,,,Bavdhan,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Bavdhan-in-Pune&id=4d423632353730383535
Call for Price,,"1 BHK Flat for Sale in Gokhalenagar, Pune",1.0,Super Area 400 sqft,400.0,Gokhalenagar,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Sale-Gokhale-Nagar-in-Pune&id=4d423736383131393135
Call for Price,,"2 BHK Flat for Sale in Kondhwa, Pune",2.0,Carpet Area 965 sqft,965.0,Kondhwa,Pune,https://www.magicbricks.com/kool-homes-kondhwa-kondhwa-pune-pdpid-4d4235303235353937
Call for Price,,"1 BHK Flat for Sale in Benkar Nagar, Dhayari, Pune",1.0,Carpet Area 550 sqft,550.0,Benkar Nagar,Pune,https://www.magicbricks.com/yash-platinum-benkar-nagar-pune-pdpid-4d4235303339393036
Call for Price,,"1 BHK Flat for Sale in Dhayari, Pune",1.0,Carpet Area 480 sqft,480.0,Dhayari,Pune,https://www.magicbricks.com/majestique-mrugavarsha-dhayari-pune-pdpid-4d4235313330343439
Call for Price,,"2 BHK Flat for Sale in Wakad, Pune",2.0,Carpet Area 648 sqft,648.0,Wakad,Pune,https://www.magicbricks.com/mark-1-wakad-pune-pdpid-4d4235303336353138
Call for Price,,"1 BHK Flat for Sale in Magarpatta, Pune",1.0,Carpet Area 576 sqft,576.0,Magarpatta,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Magarpatta-City-in-Pune&id=4d423735363732313439
